EID,GPU Duration (”s),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations,GpuTime (”s),GpuCoreClocks (cycles),AvgGpuCoreFrequencyMHz,VsThreads,HsThreads,DsThreads,GsThreads,PsThreads,CsThreads,GpuBusy (%),EuActive (%),EuStall (%),EuThreadOccupancy (%),Sampler00Busy (%),Sampler00Bottleneck (%),SamplersBusy (%),SamplerBottleneck (%),RasterizedPixels,HiDepthTestFails,EarlyDepthTestFails,SamplesKilledInPs,PixelsFailingPostPsTests,SamplesWritten,SamplesBlended,SamplerTexels,SamplerTexelMisses,SlmBytesRead (bytes),SlmBytesWritten (bytes),ShaderMemoryAccesses,ShaderAtomics,L3ShaderThroughput (bytes),ShaderBarriers,GtiReadThroughput (bytes),GtiWriteThroughput (bytes),VfBottleneck (%),VsBottleneck (%),HsBottleneck (%),DsBottleneck (%),GsBottleneck (%),SoBottleneck (%),ClBottleneck (%),SfBottleneck (%),HiDepthBottleneck (%),BcBottleneck (%),HsStall (%),DsStall (%),SoStall (%),ClStall (%),SfStall (%),NonSamplerShader00AccessStalledOnL3 (%),NonSamplerShader01AccessStalledOnL3 (%),NonSamplerShader02AccessStalledOnL3 (%),NonSamplerShader03AccessStalledOnL3 (%),NonSamplerShader04AccessStalledOnL3 (%),NonSamplerShader05AccessStalledOnL3 (%),PolyDataReady (%),Rasterizer0InputAvailable (%),Rasterizer0OutputReady (%),PixelData00Ready (%),PSOutput00Available (%),PSOutput01Available (%),PSOutput02Available (%),PixelValues00Ready (%),PixelValues01Ready (%),PixelValues02Ready (%),GTRequestQueue00Full (%),GTRequestQueue01Full (%),GTRequestQueue10Full (%),GTRequestQueue11Full (%),L30Bank0InputAvailable (%),L30Bank1InputAvailable (%),L30Bank4InputAvailable (%),L30Bank5InputAvailable (%),L30Bank2InputAvailable (%),L30Bank3InputAvailable (%),L30Bank6InputAvailable (%),L30Bank7InputAvailable (%),L30Bank0OutputReady (%),L30Bank4OutputReady (%),L30Bank1OutputReady (%),L30Bank5OutputReady (%),L30Bank2OutputReady (%),L30Bank6OutputReady (%),L30Bank3OutputReady (%),L30Bank7OutputReady (%),Sampler00InputAvailable (%),Sampler01InputAvailable (%),Sampler02InputAvailable (%),Sampler03InputAvailable (%),Sampler04InputAvailable (%),Sampler05InputAvailable (%),Sampler00OutputReady (%),Sampler01OutputReady (%),Sampler02OutputReady (%),Sampler03OutputReady (%),Sampler04OutputReady (%),Sampler05OutputReady (%),NonPSThread00ReadyForDispatch (%),NonPSThread01ReadyForDispatch (%),NonPSThread02ReadyForDispatch (%),NonPSThread03ReadyForDispatch (%),NonPSThread04ReadyForDispatch (%),NonPSThread05ReadyForDispatch (%),ThreadHeader00ReadyPort0 (%),ThreadHeader00ReadyPort1 (%),ThreadHeader00ReadyPort2 (%),ThreadHeader00ReadyPort3 (%),ThreadHeader01ReadyPort0 (%),ThreadHeader01ReadyPort1 (%),ThreadHeader01ReadyPort2 (%),ThreadHeader01ReadyPort3 (%),ThreadHeader00Ready (%),ThreadHeader01Ready (%),PSThread00ReadyForDispatch (%),PSThread01ReadyForDispatch (%),PSThread02ReadyForDispatch (%),PSThread03ReadyForDispatch (%),PSThread04ReadyForDispatch (%),PSThread05ReadyForDispatch (%),ThreadHeader05Ready (%),ThreadHeader05ReadyPort0 (%),ThreadHeader05ReadyPort1 (%),ThreadHeader05ReadyPort2 (%),ThreadHeader05ReadyPort3 (%),ThreadHeader02Ready (%),ThreadHeader03Ready (%),ThreadHeader04Ready (%),ThreadHeader02ReadyPort0 (%),ThreadHeader02ReadyPort1 (%),ThreadHeader02ReadyPort2 (%),ThreadHeader02ReadyPort3 (%),ThreadHeader03ReadyPort0 (%),ThreadHeader03ReadyPort1 (%),ThreadHeader03ReadyPort2 (%),ThreadHeader03ReadyPort3 (%),ThreadHeader04ReadyPort0 (%),ThreadHeader04ReadyPort1 (%),ThreadHeader04ReadyPort2 (%),ThreadHeader04ReadyPort3 (%),RenderBusy (%),ComputeBusy (%),PoshEngineBusy (%),BlitterBusy (%),VeboxBusy (%),Vdbox0Busy (%),Vdbox1Busy (%),RenderAndComputeBusy (%),AnyEngineBusy (%),VsFpuActive (%),PsFpuActive (%),EuSendActive (%),CsEmActive (%),CsFpuActive (%),CsSendActive (%),VsEmActive (%),PsEmActive (%),PsSendActive (%),HsFpuActive (%),DsFpuActive (%),VsSendActive (%),HsEmActive (%),DsEmActive (%),HsSendActive (%),GsFpuActive (%),GsEmActive (%),GsSendActive (%),FpuActive (%),EmActive (%),EuFpuEmActive (%),EuAvgIpcRate,DsSendActive (%),Counter0,Counter1,Counter2,Counter3,Counter4,Counter5,Counter6,Counter7,Counter8,Counter9
120,181122.28724,0,0,0,0,0,0,0,0,0,0,0,921600,179793.796,107800606,599,0,0,0,0,0,28800,100.00,82.69308,17.03532,99.23383,35.92458,0.00,35.92458,0.00,0,0,0,0,0,0,0,93044200,0,0,0,290805684,0,18611563776,0,1260608128,1052228992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83036E-06,0.00,1.83036E-06,0.00,0.00,0.00,0.00,1.42569,1.45697,1.47824,1.52201,1.46559,1.50241,1.85385E-06,1.84110E-06,1.84110E-06,1.84110E-06,1.84110E-06,1.84110E-06,1.84110E-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.04569,11.43329,11.7257,11.72052,11.68913,11.69188,11.42826,11.47956,8.57987,8.43507,8.37687,8.4922,8.4905,8.34329,8.57118,8.41499,3.56526,3.60405,3.56338,3.56093,3.5664,3.55255,3.52255,3.52878,3.49194,3.54396,3.52075,3.53526,0.01734,0.01846,0.01635,0.01839,0.01814,0.01814,0.00437,0.00437,0.0043,0.0043,0.00457,0.00457,0.00466,0.00467,0.01734,0.01846,0.00,0.00,0.00,0.00,0.00,0.00,0.01749,0.0043,0.00429,0.00445,0.00445,0.0174,0.0176,0.01685,0.00441,0.00441,0.0043,0.0043,0.00413,0.00413,0.00467,0.00467,0.00426,0.00425,0.00417,0.00417,100.00,0.00,0.00205,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,3.72713,1.1564,80.89355,3.6615,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.0771,1.15901,0.86328,1.01061,0.00,0,107307803,107307803,53653902,35769268,35769267,17884633,71538535,107307803,107307803
130,12415.98928,0,0,0,0,0,0,0,0,0,0,0,230400,12448.80,7464019,599,0,0,0,0,0,14400,100.00,85.01618,14.39158,98.7879,35.86753,0.00001,35.86753,0.00001,0,0,0,0,0,0,0,7511424,0,0,0,15816801,0,1012275264,0,2169344,64064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00003,0.00,0.00003,0.00,0.00,0.00,0.00,0.24491,0.33902,0.34137,0.33874,0.34677,0.32175,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.63202,7.53632,7.43326,7.48931,7.99032,7.28877,7.21109,7.38668,7.38485,6.51272,6.61498,6.56564,6.96253,6.36826,6.44642,6.51516,4.20101,4.17065,4.13194,4.20066,4.13607,4.1477,4.13265,4.15925,4.14096,4.12456,4.06219,4.13272,0.13095,0.13095,0.12773,0.1288,0.12751,0.12687,0.03236,0.03242,0.03306,0.03311,0.03268,0.03268,0.03279,0.03279,0.13095,0.13095,0.00,0.00,0.00,0.00,0.00,0.00,0.12944,0.03204,0.03198,0.03268,0.03274,0.13038,0.12802,0.125,0.03281,0.03276,0.03243,0.03238,0.03211,0.03211,0.0319,0.0319,0.03125,0.03125,0.03125,0.03125,100.00,0.00,0.00001,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,1.07348,0.88175,84.48504,1.06957,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.73418,0.88435,0.7945,1.00937,0.00,0,7429770,7429770,3714885,2476590,2476590,1238295,4953180,7429770,7429770
64,1988.85412,6,2,0,2,2,5760000,4,0,0,0,1444000,0,1947.452,1167653,599,2,0,0,0,45189,0,100.00,11.75924,85.38617,59.78954,1.28977,0.00,1.28977,0.00,5770400,0,0,0,0,5770400,0,0,0,0,0,1116787,0,71474368,0,5483264,24525312,0.00271,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00033,0.00,0.00076,0.00,0.00011,0.00,0.00,5.79895,6.80313,8.02535,2.67276,8.76127,7.81449,0.00058,94.77593,95.22836,98.60087,91.16102,23.83317,80.16315,98.16482,92.67837,97.76626,0.00,0.00,0.00,0.00,15.73438,15.36426,17.32392,14.71481,15.57881,15.4026,16.03088,16.14982,5.70138,5.70225,4.76926,4.76749,3.93234,3.93172,4.86021,4.85675,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0006,0.00,0.00,0.00,0.00,0.00,2.60335,2.60465,2.65848,2.65898,2.60944,2.61294,2.65359,2.65019,7.1931,7.24443,12.298,11.74326,11.61644,12.17046,12.02771,11.97369,11.28797,3.13119,3.13119,3.12726,3.12809,8.22884,8.09206,10.44283,2.97537,2.97377,3.03857,3.03719,2.97823,2.97709,3.04702,3.05159,2.98806,2.9884,3.0236,3.0236,99.99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.99999,0.00015,11.96601,1.34005,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00009,0.00,0.00,0.00,0.00,0.00,0.00,13.87025,0.00,0.00,1.00,0.00,0,1013549,1013549,506775,337850,337850,168925,675699,1013549,1013549
110,154.89583,3,1,0,1,1,1440000,3,0,0,0,1440000,0,160.42,96181,599,2,0,0,0,22600,0,100.00,18.67196,78.0939,86.96495,96.60536,2.54104,96.60536,2.54104,1440000,0,0,0,0,1440000,0,1440000,361020,0,0,0,0,0,0,3324160,1940032,0.03415,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00629,0.00,0.0009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00427,83.57833,84.16776,95.172,61.04026,60.86374,60.87186,63.22042,63.22042,62.96883,0.00,0.00,0.00,0.00,11.23777,11.68146,11.49188,10.44923,8.77287,9.2157,10.15841,9.05206,4.93747,4.9357,5.93378,5.93139,3.9763,3.98448,4.73264,4.71578,41.89807,41.99759,41.25604,41.78358,41.45596,41.73602,42.67515,42.01496,42.26698,42.51011,42.30256,42.50418,0.00612,0.00,0.00,0.00,0.00,0.00,24.77045,24.75923,24.9949,24.99796,24.41134,24.42563,25.33973,25.33973,65.99673,65.65803,92.01121,90.90833,88.91428,92.0249,90.5744,90.14568,67.22004,25.64335,25.6581,25.72551,25.71076,65.44711,65.08569,65.66882,24.26427,24.26427,25.09238,25.10655,24.58012,24.5943,24.77652,24.77652,24.17113,24.19745,25.19766,25.17134,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00061,8.86934,11.82062,0.00,0.00,0.00,0.00,0.00,11.39587,0.00,0.00,0.00057,0.00,0.00,0.00,0.00,0.00,0.00,9.51871,0.00,0.00,1.00,0.00,0,109017,109017,54508,36339,36339,18170,72678,109017,109017
96,62.50,534,178,0,178,178,72470,356,0,0,0,76916,0,58.292,34927,599,24,0,0,0,2446,0,100.00,25.63484,57.00646,62.3827,72.98651,2.49377,72.98651,2.49377,76916,0,0,0,0,74428,74276,76916,56364,0,0,46,0,2944,0,1226624,384,0.20883,1.77933,0.00,0.00,0.00,0.00,0.00,0.7638,0.00572,0.00,0.53208,0.00,0.03433,0.7924,0.75807,0.00,0.00,0.00,0.00,0.00,0.00,2.01159,2.09761,2.05514,78.44647,53.3573,53.50167,53.7621,17.64706,17.30737,17.81408,0.00,0.00,0.00,0.00,22.7776,21.17494,21.99318,23.83182,23.53916,30.31285,28.72128,27.08225,3.6696,3.74269,3.54531,3.55562,2.60077,2.64011,3.2169,3.22264,18.67703,21.27988,26.47975,24.63097,21.84761,20.44429,8.48488,8.6152,8.3314,8.14896,8.38353,8.49067,0.06697,0.06697,0.06697,0.07535,0.0586,0.05023,7.21083,7.15502,7.14385,6.94851,6.82852,6.98758,7.55686,7.2778,19.60374,18.59634,39.68776,41.77778,21.05766,39.44304,20.7398,46.63291,19.3052,7.03797,6.88045,7.17862,7.29677,18.4046,20.78966,20.36089,7.28323,7.43211,6.86339,7.04502,7.48869,7.73583,7.24452,7.39042,7.25345,7.33087,7.50953,7.54526,100.00,0.00,8.08563,0.00,0.00,0.00,0.00,0.00,100.00,0.0506,22.98125,1.67781,0.00,0.00,0.00,0.00,0.16792,1.00793,0.00,0.00,0.04184,0.00,0.00,0.00,0.00,0.00,0.00,24.79096,0.29198,0.24212,1.00975,0.00,0,38832,38832,19416,12944,12944,6472,25888,38832,38832
35,15.57292,0,0,0,0,0,0,0,0,0,0,0,0,13.832,8307,600,0,0,0,0,126,0,100.00,1.13534,40.41597,7.01302,44.60094,0.00,44.60094,0.00,3916,0,0,0,0,7832,0,3916,3916,0,0,0,0,0,0,37120,448,0.50316,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01071,0.00,0.05353,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07182,1.58243,1.5579,42.00196,8.29244,7.9735,7.8999,16.48675,15.84887,15.70167,0.00,0.00,0.00,0.00,0.39866,0.38953,0.46257,0.43214,0.37569,0.45816,0.48259,0.35431,0.40279,0.43913,0.39653,0.42704,0.37615,0.49428,0.46666,0.36227,1.05945,1.05945,1.0359,1.00059,1.0359,1.0359,2.05756,2.05756,1.95958,1.99633,1.95958,1.95958,0.00,0.00,0.00,0.00,0.00,0.00,0.88059,0.88059,1.05671,0.88059,0.88059,0.88059,1.05671,0.88059,2.40695,2.46566,2.48937,2.55009,2.38008,2.42866,2.3558,2.36794,2.36794,0.85003,0.91075,1.0929,0.85003,0.99229,1.02314,1.00771,0.3599,0.3856,0.46272,0.3599,0.3856,0.3856,0.3599,0.46272,0.3599,0.3856,0.46272,0.3599,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00025,0.68559,0.44219,0.00,0.00025,0.00,0.00,0.00,0.42397,0.00035,0.00023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69079,0.00,0.00,1.00,0.00,0,8074,8074,4037,2691,2691,1346,5382,8074,8074
15,12.50,0,0,0,0,0,0,0,0,0,0,0,0,17.16,10297,600,0,0,0,0,1,0,100.00,0.00567,1.00474,0.00347,27.2895,0.00,27.2895,0.00,8,0,0,0,0,12,0,8,4,0,0,0,0,0,0,8704,448,0.2071,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0109,0.00,0.0545,0.00,0.00545,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06582,0.07083,0.05902,0.05902,0.08263,0.03541,0.03541,0.07083,0.00,0.00,0.00,0.00,0.00,0.00,0.02316,0.02316,0.00,0.00,0.01027,0.03767,0.03082,0.00,0.01994,0.01662,0.03006,0.00668,0.01749,0.03847,0.04231,0.00651,0.02296,0.00,0.00,0.00,0.00,0.00,0.02615,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10567,0.00,0.00,0.00,0.00,0.00,0.10567,0.00,0.10983,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,5.54403,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00303,0.00353,0.00,0.00,0.00,0.00,0.00,0.00372,0.00,0.00026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00387,0.00,0.00,1.00,0.00,0,7613,7613,3807,2538,2538,1269,5075,7613,7613
